trial	speed	player_pos	ball_pos	direction	distance	broad	jitter	change	change_loc	trial_nr	block
10	0.5	5	1	-	9	4.5	0.6	0	0	1	0
8	0.5	5	1	-	9	4.5	0.3	1	-8	2	0
22	0.5	5	1	+	9	4.5	0.6	1	-6	3	0
12	0.5	5	1	-	9	4.5	0.9	0	0	4	0
19	0.5	5	1	+	9	4.5	0.6	1	-3	5	0
26	0.5	5	1	+	9	4.5	0.9	0	0	6	0
27	0.5	5	1	+	9	4.5	0.9	0	0	7	0
17	0.5	5	1	+	9	4.5	0.9	1	-1	8	0
24	0.5	5	1	+	9	4.5	0.9	1	-8	9	0
1	0.5	5	1	-	9	4.5	0.3	1	-1	10	0
21	0.5	5	1	+	9	4.5	0.9	1	-5	11	0
20	0.5	5	1	+	9	4.5	0.9	1	-4	12	0
4	0.5	5	1	-	9	4.5	0.75	1	-4	13	0
9	0.5	5	1	-	9	4.5	0.3	0	0	14	0
5	0.5	5	1	-	9	4.5	0.9	1	-5	15	0
15	0.5	5	1	-	9	4.5	0.9	0	0	16	0
30	0.5	5	1	+	9	4.5	0.3	0	0	17	0
7	0.5	5	1	-	9	4.5	0.6	1	-7	18	0
3	0.5	5	1	-	9	4.5	0.75	1	-3	19	0
14	0.5	5	1	-	9	4.5	0.6	0	0	20	0
23	0.5	5	1	+	9	4.5	0.75	1	-7	21	0
16	0.5	5	1	-	9	4.5	0.3	0	0	22	0
11	0.5	5	1	-	9	4.5	0.9	0	0	23	0
29	0.5	5	1	+	9	4.5	0.9	0	0	24	0
28	0.5	5	1	+	9	4.5	0.9	0	0	25	0
18	0.5	5	1	+	9	4.5	0.44999999999999996	1	-2	26	0
25	0.5	5	1	+	9	4.5	0.6	0	0	27	0
13	0.5	5	1	-	9	4.5	0.6	0	0	28	0
32	0.5	5	1	+	9	4.5	0.44999999999999996	0	0	29	0
31	0.5	5	1	+	9	4.5	0.44999999999999996	0	0	30	0
2	0.5	5	1	-	9	4.5	0.9	1	-2	31	0
6	0.5	5	1	-	9	4.5	0.44999999999999996	1	-6	32	0
